NAME                              READY   STATUS              RESTARTS        AGE    IP            NODE       NOMINATED NODE   READINESS GATES
fortio-low-1-b5398cef             0/1     Completed           0               45m    10.244.2.17   minikube   <none>           <none>
fortio-night-2-b9670382           0/1     ContainerCreating   0               1s     <none>        minikube   <none>           <none>
fortio-warmup-b6584730            0/1     Error               0               22d    <none>        minikube   <none>           <none>
gateway-service-967d96996-652wb   1/1     Running             3 (3h53m ago)   4d4h   10.244.1.93   minikube   <none>           <none>
gateway-service-967d96996-888d9   1/1     Terminating         2 (5m41s ago)   11m    10.244.2.58   minikube   <none>           <none>
gateway-service-967d96996-g2bp6   1/1     Terminating         2 (5m40s ago)   11m    10.244.2.57   minikube   <none>           <none>
gateway-service-967d96996-v4n62   1/1     Terminating         2 (5m41s ago)   11m    10.244.2.59   minikube   <none>           <none>
order-service-6957cffc98-f559m    1/1     Terminating         2 (5m44s ago)   11m    10.244.2.60   minikube   <none>           <none>
order-service-6957cffc98-hn5fg    1/1     Terminating         1 (8m27s ago)   11m    10.244.2.61   minikube   <none>           <none>
order-service-6957cffc98-r2np5    1/1     Running             4 (3h53m ago)   22d    10.244.1.95   minikube   <none>           <none>
product-service-bfd76d8d7-qjc46   1/1     Running             4 (3h53m ago)   22d    10.244.1.94   minikube   <none>           <none>
product-service-bfd76d8d7-rlf28   1/1     Terminating         2 (5m42s ago)   11m    10.244.2.62   minikube   <none>           <none>
product-service-bfd76d8d7-whv2p   1/1     Terminating         1 (8m29s ago)   11m    10.244.2.63   minikube   <none>           <none>
