NAME                              READY   STATUS              RESTARTS        AGE     IP            NODE       NOMINATED NODE   READINESS GATES
fortio-day-b0c719e3               0/1     ContainerCreating   0               1s      <none>        minikube   <none>           <none>
fortio-low-1-b5398cef             0/1     Completed           0               43m     10.244.2.17   minikube   <none>           <none>
fortio-warmup-b6584730            0/1     Error               0               22d     <none>        minikube   <none>           <none>
gateway-service-967d96996-652wb   1/1     Running             3 (3h52m ago)   4d4h    10.244.1.93   minikube   <none>           <none>
gateway-service-967d96996-888d9   1/1     Running             2 (3m56s ago)   9m32s   10.244.2.58   minikube   <none>           <none>
gateway-service-967d96996-g2bp6   1/1     Running             2 (3m55s ago)   9m32s   10.244.2.57   minikube   <none>           <none>
gateway-service-967d96996-v4n62   1/1     Running             2 (3m56s ago)   9m32s   10.244.2.59   minikube   <none>           <none>
order-service-6957cffc98-f559m    1/1     Running             2 (3m59s ago)   9m31s   10.244.2.60   minikube   <none>           <none>
order-service-6957cffc98-hn5fg    1/1     Running             1 (6m42s ago)   9m31s   10.244.2.61   minikube   <none>           <none>
order-service-6957cffc98-r2np5    1/1     Running             4 (3h52m ago)   22d     10.244.1.95   minikube   <none>           <none>
product-service-bfd76d8d7-qjc46   1/1     Running             4 (3h52m ago)   22d     10.244.1.94   minikube   <none>           <none>
product-service-bfd76d8d7-rlf28   1/1     Running             2 (3m57s ago)   9m31s   10.244.2.62   minikube   <none>           <none>
product-service-bfd76d8d7-whv2p   1/1     Running             1 (6m44s ago)   9m31s   10.244.2.63   minikube   <none>           <none>
