NAME                              READY   STATUS      RESTARTS      AGE   IP             NODE       NOMINATED NODE   READINESS GATES
fortio-warmup-2ef61d79            0/1     Completed   0             17s   10.244.1.1     minikube   <none>           <none>
fortio-warmup-b6584730            0/1     Error       0             18d   <none>         minikube   <none>           <none>
gateway-service-967d96996-652wb   1/1     Running     0             31m   10.244.0.224   minikube   <none>           <none>
gateway-service-967d96996-k74qq   1/1     Running     0             31m   10.244.0.225   minikube   <none>           <none>
gateway-service-967d96996-n57zq   1/1     Running     0             31m   10.244.0.226   minikube   <none>           <none>
gateway-service-967d96996-qn2vb   1/1     Running     0             31m   10.244.0.227   minikube   <none>           <none>
gateway-service-967d96996-wg25k   1/1     Running     1 (69m ago)   18d   10.244.0.186   minikube   <none>           <none>
gateway-service-967d96996-xscps   1/1     Running     0             33m   10.244.0.220   minikube   <none>           <none>
order-service-6957cffc98-r2np5    1/1     Running     1 (69m ago)   18d   10.244.0.192   minikube   <none>           <none>
product-service-bfd76d8d7-qjc46   1/1     Running     1 (69m ago)   18d   10.244.0.193   minikube   <none>           <none>
