NAME                               READY   STATUS      RESTARTS     AGE    IP             NODE       NOMINATED NODE   READINESS GATES
fortio-low-2-b627958a              0/1     Completed   0            74s    10.244.3.207   minikube   <none>           <none>
gateway-service-68ff9dfb68-kmm59   1/1     Running     2 (9h ago)   2d3h   10.244.3.22    minikube   <none>           <none>
gateway-service-68ff9dfb68-tm95v   0/1     Running     0            43s    10.244.3.211   minikube   <none>           <none>
gateway-service-68ff9dfb68-z8dgl   0/1     Running     0            43s    10.244.3.210   minikube   <none>           <none>
gateway-service-68ff9dfb68-zr9kw   0/1     Running     0            43s    10.244.3.209   minikube   <none>           <none>
minishop-scale-up-29488500-ldl29   0/1     Completed   0            46s    10.244.3.208   minikube   <none>           <none>
order-service-578dc67d78-72wvq     0/1     Running     0            43s    10.244.3.212   minikube   <none>           <none>
order-service-578dc67d78-bffmv     1/1     Running     2 (9h ago)   2d3h   10.244.3.21    minikube   <none>           <none>
order-service-578dc67d78-gqgdt     0/1     Running     0            43s    10.244.3.213   minikube   <none>           <none>
product-service-5b66b9564b-pklfg   1/1     Running     0            8h     10.244.3.32    minikube   <none>           <none>
product-service-5b66b9564b-sp2j6   0/1     Running     0            42s    10.244.3.215   minikube   <none>           <none>
product-service-5b66b9564b-vbvf5   0/1     Running     0            42s    10.244.3.214   minikube   <none>           <none>
