NAME                              READY   STATUS              RESTARTS        AGE    IP             NODE       NOMINATED NODE   READINESS GATES
fortio-low-1-5468f37e             0/1     ContainerCreating   0               1s     <none>         minikube   <none>           <none>
fortio-low-1-b5398cef             0/1     Completed           0               157m   10.244.2.17    minikube   <none>           <none>
fortio-warmup-b6584730            0/1     Error               0               22d    <none>         minikube   <none>           <none>
gateway-service-967d96996-2r2jh   1/1     Running             0               84s    10.244.2.221   minikube   <none>           <none>
gateway-service-967d96996-652wb   1/1     Running             3 (5h46m ago)   4d6h   10.244.1.93    minikube   <none>           <none>
gateway-service-967d96996-x5fvl   1/1     Running             0               84s    10.244.2.218   minikube   <none>           <none>
order-service-6957cffc98-4tmz9    1/1     Running             0               84s    10.244.2.219   minikube   <none>           <none>
order-service-6957cffc98-r2np5    1/1     Running             4 (5h46m ago)   22d    10.244.1.95    minikube   <none>           <none>
product-service-bfd76d8d7-cvs2c   1/1     Running             0               84s    10.244.2.220   minikube   <none>           <none>
product-service-bfd76d8d7-qjc46   1/1     Running             4 (5h46m ago)   22d    10.244.1.94    minikube   <none>           <none>
